id,USERID,DEPARTMENT,TIMESTAMPS,EVENTID,TERMINALSN,ACCESSMETHOD,REMARKS,TERMINALIP,PHOTO,PHOTOSIZE,RECLOGDTM,RECLOGFROMIP,LOCAL_TIMESTAMP,PhotoPath
685815,Unknown User,,2016-08-01 03:44:23.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:26.000,10.0.170.250,2016-08-01 06:44:23.000,NULL
685816,Unknown User,,2016-08-01 03:44:25.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:27.000,10.0.170.250,2016-08-01 06:44:25.000,NULL
685817,Unknown User,,2016-08-01 03:44:26.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:31.000,10.0.170.250,2016-08-01 06:44:26.000,NULL
685818,Unknown User,,2016-08-01 03:44:27.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:44:32.000,10.0.170.250,2016-08-01 06:44:27.000,NULL
685829,Unknown User,,2016-08-01 03:44:32.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:46:01.000,10.0.170.250,2016-08-01 06:44:32.000,NULL
685830,Unknown User,,2016-08-01 03:46:00.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:46:02.000,10.0.170.250,2016-08-01 06:46:00.000,NULL
685831,Unknown User,,2016-08-01 03:46:01.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:46:03.000,10.0.170.250,2016-08-01 06:46:01.000,NULL
685844,Unknown User,,2016-08-01 03:48:48.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:48:51.000,10.0.170.250,2016-08-01 06:48:48.000,NULL
685845,Unknown User,,2016-08-01 03:48:49.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:48:54.000,10.0.170.250,2016-08-01 06:48:49.000,NULL
685846,Unknown User,,2016-08-01 03:48:51.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:48:55.000,10.0.170.250,2016-08-01 06:48:51.000,NULL
685847,Unknown User,,2016-08-01 03:48:55.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:48:57.000,10.0.170.250,2016-08-01 06:48:55.000,NULL
